mode	queue_depth	mixed_inflight	strong_hot_inflight	strong_cold_inflight	elapsed_time	total_hot_requests	avg_latency	p95_latency	p99_latency	hot_throughput	cold_throughput	hot_thread_errors	cold_thread_errors
hot-only	65	64	64	32	0.147 s	10000	59319.72 us	108189.00 us	120561.00 us	265.31 MB/s	0.00 MB/s	0	0
mixed	65	64	64	32	2.077 s	10000	253634.62 us	381604.00 us	408174.00 us	18.81 MB/s	3610.27 MB/s	0	0
strong-i	65	64	64	32	1.844 s	10000	14734.10 us	28250.00 us	34765.00 us	21.18 MB/s	4066.14 MB/s	0	0
