run  mode      queue_depth  mixed_inflight  strong_hot_inflight  strong_cold_inflight  hot_threads  cold_threads  hot_queues  cold_queues  elapsed_time  total_hot_requests  avg_latency  p95_latency   p99_latency   hot_throughput  cold_throughput  hot_thread_errors  cold_thread_errors
1    strong-i  16           16              16                   16                    4            12            6           10           5.040 s       123934              24947.46 us  40363.00 us   42527.00 us   96.06 MB/s      3036.59 MB/s     0                  0
1    strong-i  32           32              32                   32                    4            12            6           10           5.080 s       205460              13028.57 us  28820.00 us   31799.00 us   158.00 MB/s     1667.95 MB/s     0                  0
1    strong-i  64           64              64                   64                    4            12            6           10           5.056 s       94731               43191.05 us  65866.00 us   73236.00 us   73.19 MB/s      3452.91 MB/s     0                  0
1    strong-i  128          128             128                  128                   4            12            6           10           5.092 s       82796               61394.43 us  100159.00 us  114159.00 us  63.51 MB/s      3374.45 MB/s     0                  0
2    strong-i  16           16              16                   16                    4            12            6           10           5.046 s       174774              13587.36 us  29722.00 us   37389.00 us   135.30 MB/s     2713.36 MB/s     0                  0
2    strong-i  32           32              32                   32                    4            12            6           10           5.062 s       171786              16646.79 us  33899.00 us   40592.00 us   132.58 MB/s     1815.71 MB/s     0                  0
2    strong-i  64           64              64                   64                    4            12            6           10           5.053 s       93392               49455.67 us  66737.00 us   71622.00 us   72.20 MB/s      3324.78 MB/s     0                  0
2    strong-i  128          128             128                  128                   4            12            6           10           5.104 s       74778               68859.77 us  108172.00 us  115833.00 us  57.23 MB/s      3037.15 MB/s     0                  0
3    strong-i  16           16              16                   16                    4            12            6           10           5.037 s       180645              16597.02 us  30319.00 us   44257.00 us   140.09 MB/s     3209.80 MB/s     0                  0
3    strong-i  32           32              32                   32                    4            12            6           10           5.072 s       168598              13045.76 us  34315.00 us   38579.00 us   129.86 MB/s     1719.78 MB/s     0                  0
3    strong-i  64           64              64                   64                    4            12            6           10           5.042 s       89568               50603.62 us  68320.00 us   73607.00 us   69.40 MB/s      3273.38 MB/s     0                  0
3    strong-i  128          128             128                  128                   4            12            6           10           5.112 s       63690               83929.20 us  132497.00 us  138469.00 us  48.67 MB/s      2579.90 MB/s     0                  0
4    strong-i  16           16              16                   16                    4            12            6           10           5.034 s       172938              13490.64 us  35303.00 us   40465.00 us   134.21 MB/s     3013.73 MB/s     0                  0
4    strong-i  32           32              32                   32                    4            12            6           10           5.082 s       117036              31493.07 us  52934.00 us   57308.00 us   89.97 MB/s      1627.35 MB/s     0                  0
4    strong-i  64           64              64                   64                    4            12            6           10           5.058 s       86058               53402.80 us  73478.00 us   84623.00 us   66.46 MB/s      3183.16 MB/s     0                  0
4    strong-i  128          128             128                  128                   4            12            6           10           5.089 s       79962               68695.35 us  103378.00 us  107431.00 us  61.38 MB/s      3258.13 MB/s     0                  0
5    strong-i  16           16              16                   16                    4            12            6           10           5.039 s       120758              26434.48 us  44437.00 us   46576.00 us   93.62 MB/s      3244.45 MB/s     0                  0
5    strong-i  32           32              32                   32                    4            12            6           10           5.076 s       160726              16782.75 us  34385.00 us   43767.00 us   123.68 MB/s     1645.55 MB/s     0                  0
5    strong-i  64           64              64                   64                    4            12            6           10           5.044 s       93418               46905.92 us  69630.00 us   77432.00 us   72.35 MB/s      3430.79 MB/s     0                  0
5    strong-i  128          128             128                  128                   4            12            6           10           5.095 s       79674               71341.09 us  100924.00 us  111271.00 us  61.08 MB/s      3244.74 MB/s     0                  0
