source	queue_depth	mixed_inflight	strong_hot_inflight	strong_cold_inflight	strong_cold_ratio	mode	runs	elapsed_time_mean_s	total_hot_requests_mean	avg_latency_mean_us	avg_latency_std_us	p95_mean_us	p95_std_us	p99_mean_us	p99_std_us	hot_throughput_mean_mb_s	hot_throughput_std_mb_s	cold_throughput_mean_mb_s	cold_throughput_std_mb_s	hot_thread_errors_sum	cold_thread_errors_sum
20260419-013331	17	16	16	8	0.50	strong-i	5	2.328	10000.00	13668.03	3060.31	21887.20	3587.73	24726.60	3608.82	16.83	1.04	3231.74	198.80	0	0
20260419-013745	65	64	64	32	0.50	hot-only	5	0.143	9992.60	58340.33	2528.71	103964.20	3126.02	115458.80	4924.59	273.72	7.54	0.00	0.00	0	0
20260419-013745	65	64	64	32	0.50	mixed	5	2.768	10000.00	326798.01	50612.33	447935.60	66250.39	466720.80	69621.60	14.40	2.49	2764.15	478.73	0	0
20260419-013745	65	64	64	32	0.50	strong-i	5	2.539	10000.00	17359.89	4854.51	33045.20	8790.26	46695.60	13504.83	15.90	3.37	3053.51	646.32	0	0
20260419-014109	65	64	64	48	0.75	hot-only	5	0.146	9989.00	58049.13	1682.39	104708.20	1516.42	118403.00	7457.36	268.28	10.94	0.00	0.00	0	0
20260419-014109	65	64	64	48	0.75	mixed	5	2.890	10000.00	339315.00	59032.07	445271.00	85238.28	461400.00	83732.37	13.55	0.74	2601.63	143.07	0	0
20260419-014109	65	64	64	48	0.75	strong-i	5	2.658	10000.00	35949.50	4134.49	53292.40	4367.53	60547.60	10323.93	14.86	1.69	2852.79	323.64	0	0
20260419-031650	128	128	128	64	0.50	hot-only	5	0.153	9998.40	62861.93	4052.05	118037.20	6726.92	132986.40	8221.48	255.52	12.96	0.00	0.00	0	0
20260419-031650	128	128	128	64	0.50	mixed	5	2.645	10000.00	486082.78	76114.24	730300.40	119654.20	747468.80	126110.41	15.15	2.84	2907.63	544.79	0	0
20260419-031650	128	128	128	64	0.50	strong-i	5	2.631	10000.00	87156.29	15353.71	144210.20	26174.74	150326.60	27241.69	15.20	2.59	2917.07	497.21	0	0
20260419-032120	128	128	128	96	0.75	hot-only	5	0.144	9999.60	62103.11	785.38	116204.60	1797.16	126062.40	2223.56	271.40	7.12	0.00	0.00	0	0
20260419-032120	128	128	128	96	0.75	mixed	5	2.760	10000.00	494210.00	83996.41	753242.60	145543.45	772803.40	143842.73	14.49	2.75	2781.36	527.39	0	0
20260419-032120	128	128	128	96	0.75	strong-i	5	2.445	10000.00	87727.70	9638.39	131194.40	6140.19	140516.40	10176.09	15.99	0.60	3070.66	114.65	0	0
20260419-050155	16	16	16	16	1.00	strong-i	5	5.042	142731.00	12993.50	5840.78	23759.40	3647.54	27710.80	1983.74	112.31	19.81	3241.92	238.85	0	0
20260419-050155	32	32	32	32	1.00	strong-i	5	5.070	130491.20	17109.63	4125.00	29668.00	3417.66	33865.00	1836.44	100.55	15.80	3037.60	184.01	0	0
20260419-050155	64	64	64	64	1.00	strong-i	5	5.090	41516.40	74737.63	9958.87	103625.00	14052.70	112511.80	15252.01	31.86	3.68	3019.38	350.48	0	0
20260419-050155	128	128	128	128	1.00	strong-i	5	5.114	44284.80	101135.37	17103.79	130215.00	8801.25	136707.40	9970.86	33.83	2.26	3221.72	231.24	0	0
20260419-051215	16	16	16	16	1.00	strong-i	5	2.308	10000.00	11721.67	2297.60	19386.20	2538.58	21600.80	2214.82	16.95	0.76	3253.91	145.09	0	0
20260419-051215	32	32	32	32	1.00	strong-i	5	2.524	10000.00	12321.21	2812.93	24104.40	3689.18	31035.80	4393.69	15.50	0.72	2976.41	139.23	0	0
20260419-051215	64	64	64	64	1.00	strong-i	5	2.457	10000.00	74709.95	6718.59	103055.40	4838.14	113161.20	13239.60	15.92	0.67	3056.97	129.34	0	0
20260419-051215	128	128	128	128	1.00	strong-i	5	2.438	10000.00	92019.92	12406.09	127017.00	12016.32	133447.20	11896.34	16.09	1.12	3089.02	216.00	0	0
