mode	queue_depth	mixed_inflight	strong_hot_inflight	strong_cold_inflight	elapsed_time	total_hot_requests	avg_latency	p95_latency	p99_latency	hot_throughput	cold_throughput	hot_thread_errors	cold_thread_errors
hot-only	65	64	64	32	0.147 s	9995	57625.75 us	101134.00 us	120995.00 us	266.46 MB/s	0.00 MB/s	0	0
mixed	65	64	64	32	2.855 s	10000	313923.11 us	412713.00 us	420913.00 us	13.68 MB/s	2626.58 MB/s	0	0
strong-i	65	64	64	32	2.335 s	10000	13009.13 us	28151.00 us	41635.00 us	16.73 MB/s	3211.74 MB/s	0	0
