mode	queue_depth	mixed_inflight	strong_hot_inflight	strong_cold_inflight	elapsed_time	total_hot_requests	avg_latency	p95_latency	p99_latency	hot_throughput	cold_throughput	hot_thread_errors	cold_thread_errors
hot-only	64	64	64	48	5.066 s	353871	78374.98 us	141978.00 us	327418.00 us	272.84 MB/s	0.00 MB/s	0	0
mixed	64	64	64	48	5.273 s	46640	263961.36 us	375508.00 us	394072.00 us	34.55 MB/s	3321.50 MB/s	0	0
strong-i	64	64	64	48	5.064 s	100796	29021.98 us	44298.00 us	52628.00 us	77.75 MB/s	3260.14 MB/s	0	0
