mode	queue_depth	mixed_inflight	strong_hot_inflight	strong_cold_inflight	elapsed_time	total_hot_requests	avg_latency	p95_latency	p99_latency	hot_throughput	cold_throughput	hot_thread_errors	cold_thread_errors
hot-only	64	64	64	48	5.072 s	356512	82511.66 us	137129.00 us	299231.00 us	274.55 MB/s	0.00 MB/s	0	0
mixed	64	64	64	48	5.215 s	47120	301277.27 us	432964.00 us	458071.00 us	35.29 MB/s	3235.24 MB/s	0	0
strong-i	64	64	64	48	5.074 s	89760	37247.81 us	46680.00 us	50255.00 us	69.11 MB/s	2836.18 MB/s	0	0
