mode	queue_depth	mixed_inflight	strong_hot_inflight	strong_cold_inflight	elapsed_time	total_hot_requests	avg_latency	p95_latency	p99_latency	hot_throughput	cold_throughput	hot_thread_errors	cold_thread_errors
hot-only	64	64	64	32	5.109 s	397456	74170.95 us	122145.00 us	232512.00 us	303.88 MB/s	0.00 MB/s	0	0
mixed	64	64	64	32	5.223 s	46632	584901.99 us	866316.00 us	875559.00 us	34.88 MB/s	3271.10 MB/s	0	0
strong-i	64	64	64	32	5.095 s	103896	28295.77 us	52840.00 us	66100.00 us	79.66 MB/s	1366.83 MB/s	0	0
