mode	queue_depth	mixed_inflight	strong_hot_inflight	strong_cold_inflight	elapsed_time	total_hot_requests	avg_latency	p95_latency	p99_latency	hot_throughput	cold_throughput	hot_thread_errors	cold_thread_errors
hot-only	65	64	64	48	0.150 s	9987	58541.59 us	105097.00 us	119362.00 us	260.06 MB/s	0.00 MB/s	0	0
mixed	65	64	64	48	2.976 s	10000	398190.31 us	552672.00 us	565109.00 us	13.13 MB/s	2519.85 MB/s	0	0
strong-i	65	64	64	48	2.665 s	10000	39084.49 us	53255.00 us	57457.00 us	14.66 MB/s	2813.51 MB/s	0	0
