run	mode	queue_depth	mixed_inflight	strong_hot_inflight	strong_cold_inflight	elapsed_time	total_hot_requests	avg_latency	p95_latency	p99_latency	hot_throughput	cold_throughput	hot_thread_errors	cold_thread_errors
1	hot-only	128	128	128	64	5.263 s	399195	222884.43 us	287038.00 us	438837.00 us	296.31 MB/s	0.00 MB/s	0	0
1	mixed	128	128	128	64	5.550 s	44561	885777.78 us	1309883.00 us	1336745.00 us	31.36 MB/s	2496.35 MB/s	0	0
1	strong-i	128	128	128	64	5.070 s	44800	86423.33 us	127122.00 us	136941.00 us	34.52 MB/s	3270.57 MB/s	0	0
2	hot-only	128	128	128	64	5.273 s	392795	224709.92 us	263412.00 us	450374.00 us	290.98 MB/s	0.00 MB/s	0	0
2	mixed	128	128	128	64	5.679 s	41390	596988.87 us	713981.00 us	728938.00 us	28.47 MB/s	2763.84 MB/s	0	0
2	strong-i	128	128	128	64	5.077 s	43884	105443.58 us	127420.00 us	142370.00 us	33.76 MB/s	3201.65 MB/s	0	0
3	hot-only	128	128	128	64	5.271 s	395680	223748.55 us	273599.00 us	450875.00 us	293.23 MB/s	0.00 MB/s	0	0
3	mixed	128	128	128	64	5.581 s	43974	376986.58 us	572736.00 us	593737.00 us	30.78 MB/s	3131.98 MB/s	0	0
3	strong-i	128	128	128	64	5.089 s	43744	82532.83 us	126991.00 us	138412.00 us	33.58 MB/s	3184.62 MB/s	0	0
4	hot-only	128	128	128	64	5.269 s	381613	232561.53 us	272130.00 us	487618.00 us	282.90 MB/s	0.00 MB/s	0	0
4	mixed	128	128	128	64	5.630 s	41833	563935.88 us	759758.00 us	786987.00 us	29.02 MB/s	2929.75 MB/s	0	0
4	strong-i	128	128	128	64	5.094 s	42368	76687.06 us	132148.00 us	143364.00 us	32.49 MB/s	3076.49 MB/s	0	0
5	hot-only	128	128	128	64	5.303 s	387566	225048.95 us	268677.00 us	467802.00 us	285.50 MB/s	0.00 MB/s	0	0
5	mixed	128	128	128	64	5.463 s	41312	1106579.84 us	1550419.00 us	1567755.00 us	29.54 MB/s	2242.30 MB/s	0	0
5	strong-i	128	128	128	64	5.088 s	46824	72409.35 us	123152.00 us	137237.00 us	35.95 MB/s	3410.03 MB/s	0	0
