run	mode	queue_depth	mixed_inflight	strong_hot_inflight	strong_cold_inflight	elapsed_time	total_hot_requests	avg_latency	p95_latency	p99_latency	hot_throughput	cold_throughput	hot_thread_errors	cold_thread_errors
1	hot-only	128	128	128	64	0.148 s	10000	57769.69 us	111730.00 us	125100.00 us	263.51 MB/s	0.00 MB/s	0	0
1	mixed	128	128	128	64	1.997 s	10000	383370.83 us	587828.00 us	598593.00 us	19.56 MB/s	3754.67 MB/s	0	0
1	strong-i	128	128	128	64	2.082 s	10000	68083.20 us	119369.00 us	123651.00 us	18.76 MB/s	3600.95 MB/s	0	0
2	hot-only	128	128	128	64	0.149 s	10000	66699.22 us	124511.00 us	134636.00 us	262.65 MB/s	0.00 MB/s	0	0
2	mixed	128	128	128	64	2.881 s	10000	467226.10 us	663364.00 us	672573.00 us	13.56 MB/s	2603.14 MB/s	0	0
2	strong-i	128	128	128	64	3.166 s	10000	104758.43 us	182458.00 us	190015.00 us	12.34 MB/s	2368.89 MB/s	0	0
3	hot-only	128	128	128	64	0.146 s	9992	61551.11 us	114143.00 us	126146.00 us	268.25 MB/s	0.00 MB/s	0	0
3	mixed	128	128	128	64	2.955 s	10000	526970.82 us	794751.00 us	808774.00 us	13.22 MB/s	2537.44 MB/s	0	0
3	strong-i	128	128	128	64	3.003 s	10000	88831.39 us	159745.00 us	166161.00 us	13.01 MB/s	2496.72 MB/s	0	0
4	hot-only	128	128	128	64	0.160 s	10000	60981.67 us	113688.00 us	133477.00 us	243.53 MB/s	0.00 MB/s	0	0
4	mixed	128	128	128	64	2.375 s	10000	465835.61 us	708362.00 us	731527.00 us	16.45 MB/s	3156.93 MB/s	0	0
4	strong-i	128	128	128	64	2.485 s	10000	98597.65 us	129318.00 us	133176.00 us	15.72 MB/s	3017.72 MB/s	0	0
5	hot-only	128	128	128	64	0.163 s	10000	67307.95 us	126114.00 us	145573.00 us	239.68 MB/s	0.00 MB/s	0	0
5	mixed	128	128	128	64	3.016 s	10000	587010.53 us	897197.00 us	925877.00 us	12.95 MB/s	2485.95 MB/s	0	0
5	strong-i	128	128	128	64	2.418 s	10000	75510.80 us	130161.00 us	138630.00 us	16.15 MB/s	3101.07 MB/s	0	0
