mode	queue_depth	mixed_inflight	strong_hot_inflight	strong_cold_inflight	elapsed_time	total_hot_requests	avg_latency	p95_latency	p99_latency	hot_throughput	cold_throughput	hot_thread_errors	cold_thread_errors
hot-only	16	16	16	8	5.023 s	360831	13225.72 us	33180.00 us	42812.00 us	280.62 MB/s	0.00 MB/s	0	0
mixed	16	16	16	8	5.028 s	52236	38483.36 us	160472.00 us	194332.00 us	40.58 MB/s	3667.34 MB/s	0	0
strong-i	16	16	16	8	5.033 s	96808	24928.43 us	30867.00 us	31644.00 us	75.14 MB/s	3274.49 MB/s	0	0
