mode	queue_depth	mixed_inflight	strong_hot_inflight	strong_cold_inflight	elapsed_time	total_hot_requests	avg_latency	p95_latency	p99_latency	hot_throughput	cold_throughput	hot_thread_errors	cold_thread_errors
hot-only	128	128	128	96	0.141 s	9999	63077.00 us	118143.00 us	125620.00 us	276.18 MB/s	0.00 MB/s	0	0
mixed	128	128	128	96	3.061 s	10000	505973.50 us	748968.00 us	766103.00 us	12.76 MB/s	2449.68 MB/s	0	0
strong-i	128	128	128	96	2.466 s	10000	89709.47 us	139022.00 us	144007.00 us	15.84 MB/s	3041.10 MB/s	0	0
