mode	queue_depth	mixed_inflight	strong_hot_inflight	strong_cold_inflight	elapsed_time	total_hot_requests	avg_latency	p95_latency	p99_latency	hot_throughput	cold_throughput	hot_thread_errors	cold_thread_errors
hot-only	17	16	16	8	0.153 s	9984	18462.34 us	33985.00 us	39187.00 us	254.96 MB/s	0.00 MB/s	0	0
mixed	17	16	16	8	3.008 s	10000	83098.97 us	211268.00 us	280064.00 us	12.99 MB/s	2492.90 MB/s	0	0
strong-i	17	16	16	8	2.223 s	10000	16725.90 us	24010.00 us	25344.00 us	17.57 MB/s	3372.39 MB/s	0	0
