mode	queue_depth	mixed_inflight	strong_hot_inflight	strong_cold_inflight	elapsed_time	total_hot_requests	avg_latency	p95_latency	p99_latency	hot_throughput	cold_throughput	hot_thread_errors	cold_thread_errors
hot-only	65	64	64	32	0.142 s	9986	54344.38 us	100633.00 us	110669.00 us	275.12 MB/s	0.00 MB/s	0	0
mixed	65	64	64	32	3.087 s	10000	381454.24 us	549245.00 us	574866.00 us	12.66 MB/s	2429.59 MB/s	0	0
strong-i	65	64	64	32	3.188 s	10000	24473.88 us	48118.00 us	66506.00 us	12.25 MB/s	2352.30 MB/s	0	0
