mode	queue_depth	mixed_inflight	strong_hot_inflight	strong_cold_inflight	elapsed_time	total_hot_requests	avg_latency	p95_latency	p99_latency	hot_throughput	cold_throughput	hot_thread_errors	cold_thread_errors
hot-only	32	32	32	16	0.222 s	9986	44728.47 us	110553.00 us	139841.00 us	175.46 MB/s	0.00 MB/s	0	0
mixed	32	32	32	16	2.275 s	10000	115326.45 us	163629.00 us	177216.00 us	17.17 MB/s	3296.82 MB/s	0	0
strong-i	32	32	32	16	2.929 s	10000	25484.06 us	41221.00 us	42444.00 us	13.34 MB/s	2560.43 MB/s	0	0
