run  mode      queue_depth  mixed_inflight  strong_hot_inflight  strong_cold_inflight  elapsed_time  total_hot_requests  avg_latency   p95_latency   p99_latency   hot_throughput  cold_throughput  hot_thread_errors  cold_thread_errors
1    hot-only  32           32              32                   16                    5.043 s       344896              21613.27 us   69871.00 us   123830.00 us  267.13 MB/s     0.00 MB/s        0                  0
1    mixed     32           32              32                   16                    5.156 s       36912               74274.57 us   177251.00 us  194567.00 us  27.96 MB/s      2775.72 MB/s     0                  0
1    strong-i  32           32              32                   16                    5.046 s       91772               27618.69 us   37982.00 us   40255.00 us   71.04 MB/s      2803.43 MB/s     0                  0
2    hot-only  32           32              32                   16                    5.037 s       358511              13800.49 us   61540.00 us   78566.00 us   278.03 MB/s     0.00 MB/s        0                  0
2    mixed     32           32              32                   16                    5.049 s       53484               130408.65 us  311149.00 us  403659.00 us  41.38 MB/s      3630.17 MB/s     0                  0
2    strong-i  32           32              32                   16                    5.077 s       113807              15859.40 us   33309.00 us   38012.00 us   87.56 MB/s      2161.22 MB/s     0                  0
3    hot-only  32           32              32                   16                    5.029 s       319633              20244.99 us   73765.00 us   102174.00 us  248.29 MB/s     0.00 MB/s        0                  0
3    mixed     32           32              32                   16                    5.075 s       57272               129752.87 us  350839.00 us  416277.00 us  44.09 MB/s      3385.92 MB/s     0                  0
3    strong-i  32           32              32                   16                    5.049 s       120704              16201.29 us   34303.00 us   37641.00 us   93.38 MB/s      3126.33 MB/s     0                  0
4    hot-only  32           32              32                   16                    5.048 s       285617              22230.95 us   82592.00 us   129588.00 us  221.02 MB/s     0.00 MB/s        0                  0
4    mixed     32           32              32                   16                    5.148 s       44280               203554.52 us  354606.00 us  377936.00 us  33.60 MB/s      3290.59 MB/s     0                  0
4    strong-i  32           32              32                   16                    5.043 s       166508              10918.61 us   24472.00 us   27775.00 us   128.98 MB/s     3024.69 MB/s     0                  0
5    hot-only  32           32              32                   16                    5.047 s       381583              17410.24 us   62073.00 us   93360.00 us   295.33 MB/s     0.00 MB/s        0                  0
5    mixed     32           32              32                   16                    5.147 s       41712               95643.57 us   209041.00 us  240237.00 us  31.66 MB/s      3180.60 MB/s     0                  0
5    strong-i  32           32              32                   16                    5.046 s       150608              10619.24 us   26157.00 us   28002.00 us   116.58 MB/s     3294.40 MB/s     0                  0
