run	mode	queue_depth	mixed_inflight	strong_hot_inflight	strong_cold_inflight	elapsed_time	total_hot_requests	avg_latency	p95_latency	p99_latency	hot_throughput	cold_throughput	hot_thread_errors	cold_thread_errors
1	hot-only	16	16	16	12	5.024 s	482261	8235.39 us	23699.00 us	31000.00 us	375.00 MB/s	0.00 MB/s	0	0
1	mixed	16	16	16	12	5.079 s	36050	30593.77 us	182870.00 us	200727.00 us	27.72 MB/s	3053.17 MB/s	0	0
1	strong-i	16	16	16	12	5.029 s	139740	12639.09 us	26804.00 us	30317.00 us	108.54 MB/s	3416.09 MB/s	0	0
2	hot-only	16	16	16	12	5.038 s	381775	10363.70 us	30528.00 us	39507.00 us	296.02 MB/s	0.00 MB/s	0	0
2	mixed	16	16	16	12	5.034 s	46904	48929.67 us	184476.00 us	228062.00 us	36.39 MB/s	2994.40 MB/s	0	0
2	strong-i	16	16	16	12	5.034 s	146268	11905.13 us	25397.00 us	29310.00 us	113.51 MB/s	2794.64 MB/s	0	0
3	hot-only	16	16	16	12	5.027 s	368127	11851.73 us	32118.00 us	41756.00 us	286.05 MB/s	0.00 MB/s	0	0
3	mixed	16	16	16	12	5.035 s	48788	42444.46 us	143017.00 us	219746.00 us	37.85 MB/s	3341.52 MB/s	0	0
3	strong-i	16	16	16	12	5.073 s	148400	10254.41 us	22823.00 us	26022.00 us	114.26 MB/s	2292.88 MB/s	0	0
4	hot-only	16	16	16	12	5.024 s	373136	11733.58 us	32163.00 us	40668.00 us	290.13 MB/s	0.00 MB/s	0	0
4	mixed	16	16	16	12	5.081 s	35088	31307.60 us	139977.00 us	181417.00 us	26.97 MB/s	3032.71 MB/s	0	0
4	strong-i	16	16	16	12	5.045 s	122328	15207.24 us	30130.00 us	31851.00 us	94.72 MB/s	3288.13 MB/s	0	0
5	hot-only	16	16	16	12	5.023 s	380926	12326.05 us	32108.00 us	40831.00 us	296.24 MB/s	0.00 MB/s	0	0
5	mixed	16	16	16	12	5.036 s	53476	48559.06 us	178214.00 us	211476.00 us	41.48 MB/s	3364.17 MB/s	0	0
5	strong-i	16	16	16	12	5.052 s	97672	23052.38 us	30666.00 us	31383.00 us	75.53 MB/s	3428.98 MB/s	0	0
