mode	queue_depth	mixed_inflight	strong_hot_inflight	strong_cold_inflight	elapsed_time	total_hot_requests	avg_latency	p95_latency	p99_latency	hot_throughput	cold_throughput	hot_thread_errors	cold_thread_errors
hot-only	16	16	16	8	5.032 s	366893	12102.08 us	32678.00 us	41485.00 us	284.83 MB/s	0.00 MB/s	0	0
mixed	16	16	16	8	5.055 s	46992	28547.89 us	147251.00 us	192689.00 us	36.32 MB/s	3338.75 MB/s	0	0
strong-i	16	16	16	8	5.048 s	193224	6988.09 us	16707.00 us	19370.00 us	149.52 MB/s	2856.44 MB/s	0	0
