mode	queue_depth	mixed_inflight	strong_hot_inflight	strong_cold_inflight	hot_threads	cold_threads	hot_queues	cold_queues	elapsed_time	total_hot_requests	avg_latency	p95_latency	p99_latency	hot_throughput	cold_throughput	hot_thread_errors	cold_thread_errors
strong-i	16	16	16	16	4	12	2	14	5.042 s	131040	6053.59 us	14810.00 us	15576.00 us	101.51 MB/s	3189.27 MB/s	1	0
strong-i	32	32	32	32	4	12	2	14	5.060 s	131008	6875.54 us	14986.00 us	16277.00 us	101.14 MB/s	3108.54 MB/s	1	0
strong-i	64	64	64	64	4	12	2	14	5.107 s	18542	80485.85 us	119336.00 us	130580.00 us	14.18 MB/s	3161.70 MB/s	0	0
strong-i	128	128	128	128	4	12	2	14	5.143 s	19026	135372.16 us	156914.00 us	169527.00 us	14.45 MB/s	3222.43 MB/s	0	0
