run	mode	queue_depth	mixed_inflight	strong_hot_inflight	strong_cold_inflight	elapsed_time	total_hot_requests	avg_latency	p95_latency	p99_latency	hot_throughput	cold_throughput	hot_thread_errors	cold_thread_errors
1	hot-only	65	64	64	32	0.139 s	9986	59438.04 us	104574.00 us	112908.00 us	280.91 MB/s	0.00 MB/s	0	0
1	mixed	65	64	64	32	2.911 s	10000	367469.69 us	476801.00 us	497689.00 us	13.42 MB/s	2576.07 MB/s	0	0
1	strong-i	65	64	64	32	2.573 s	10000	14305.97 us	27156.00 us	36199.00 us	15.18 MB/s	2914.80 MB/s	0	0
2	hot-only	65	64	64	32	0.142 s	9986	54344.38 us	100633.00 us	110669.00 us	275.12 MB/s	0.00 MB/s	0	0
2	mixed	65	64	64	32	3.087 s	10000	381454.24 us	549245.00 us	574866.00 us	12.66 MB/s	2429.59 MB/s	0	0
2	strong-i	65	64	64	32	3.188 s	10000	24473.88 us	48118.00 us	66506.00 us	12.25 MB/s	2352.30 MB/s	0	0
3	hot-only	65	64	64	32	0.147 s	9995	57625.75 us	101134.00 us	120995.00 us	266.46 MB/s	0.00 MB/s	0	0
3	mixed	65	64	64	32	2.855 s	10000	313923.11 us	412713.00 us	420913.00 us	13.68 MB/s	2626.58 MB/s	0	0
3	strong-i	65	64	64	32	2.335 s	10000	13009.13 us	28151.00 us	41635.00 us	16.73 MB/s	3211.74 MB/s	0	0
4	hot-only	65	64	64	32	0.139 s	9996	60973.78 us	105291.00 us	112161.00 us	280.80 MB/s	0.00 MB/s	0	0
4	mixed	65	64	64	32	2.908 s	10000	317508.38 us	419315.00 us	431962.00 us	13.43 MB/s	2578.24 MB/s	0	0
4	strong-i	65	64	64	32	2.754 s	10000	20276.39 us	33551.00 us	54373.00 us	14.18 MB/s	2722.59 MB/s	0	0
5	hot-only	65	64	64	32	0.147 s	10000	59319.72 us	108189.00 us	120561.00 us	265.31 MB/s	0.00 MB/s	0	0
5	mixed	65	64	64	32	2.077 s	10000	253634.62 us	381604.00 us	408174.00 us	18.81 MB/s	3610.27 MB/s	0	0
5	strong-i	65	64	64	32	1.844 s	10000	14734.10 us	28250.00 us	34765.00 us	21.18 MB/s	4066.14 MB/s	0	0
