run  mode      queue_depth  mixed_inflight  strong_hot_inflight  strong_cold_inflight  hot_threads  cold_threads  hot_queues  cold_queues  elapsed_time  total_hot_requests  avg_latency   p95_latency   p99_latency   hot_throughput  cold_throughput  hot_thread_errors  cold_thread_errors
1    strong-i  16           16              16                   16                    4            12            4           12           5.097 s       181580              8900.86 us    18734.00 us   22828.00 us   139.16 MB/s     2156.35 MB/s     0                  0
1    strong-i  32           32              32                   32                    4            12            4           12           5.123 s       193276              8132.97 us    19597.00 us   24013.00 us   147.37 MB/s     2247.15 MB/s     0                  0
1    strong-i  64           64              64                   64                    4            12            4           12           5.115 s       31508               93103.78 us   138929.00 us  147864.00 us  24.06 MB/s      2282.51 MB/s     0                  0
1    strong-i  128          128             128                  128                   4            12            4           12           5.117 s       36348               123834.96 us  157903.00 us  165367.00 us  27.75 MB/s      2647.21 MB/s     0                  0
2    strong-i  16           16              16                   16                    4            12            4           12           5.038 s       121220              16620.49 us   30246.00 us   31694.00 us   93.99 MB/s      3537.89 MB/s     0                  0
2    strong-i  32           32              32                   32                    4            12            4           12           5.069 s       130028              13882.54 us   29739.00 us   33304.00 us   100.21 MB/s     2930.03 MB/s     0                  0
2    strong-i  64           64              64                   64                    4            12            4           12           5.084 s       41020               77306.45 us   101862.00 us  109408.00 us  31.52 MB/s      2994.53 MB/s     0                  0
2    strong-i  128          128             128                  128                   4            12            4           12           5.110 s       45216               95559.81 us   122316.00 us  129329.00 us  34.57 MB/s      3298.76 MB/s     0                  0
3    strong-i  16           16              16                   16                    4            12            4           12           5.051 s       115588              16107.41 us   30441.00 us   31951.00 us   89.40 MB/s      3132.96 MB/s     0                  0
3    strong-i  32           32              32                   32                    4            12            4           12           5.070 s       143728              12641.63 us   25932.00 us   31845.00 us   110.75 MB/s     2986.01 MB/s     0                  0
3    strong-i  64           64              64                   64                    4            12            4           12           5.080 s       39832               80328.68 us   105391.00 us  112757.00 us  30.63 MB/s      2910.80 MB/s     0                  0
3    strong-i  128          128             128                  128                   4            12            4           12           5.126 s       42844               89533.84 us   134017.00 us  142463.00 us  32.65 MB/s      3119.74 MB/s     0                  0
4    strong-i  16           16              16                   16                    4            12            4           12           5.033 s       166676              8209.73 us    21189.00 us   28644.00 us   129.37 MB/s     3805.62 MB/s     0                  0
4    strong-i  32           32              32                   32                    4            12            4           12           5.071 s       135520              17632.20 us   26629.00 us   28470.00 us   104.38 MB/s     2734.03 MB/s     0                  0
4    strong-i  64           64              64                   64                    4            12            4           12           5.074 s       44956               73571.02 us   94279.00 us   98686.00 us   34.61 MB/s      3279.57 MB/s     0                  0
4    strong-i  128          128             128                  128                   4            12            4           12           5.122 s       45232               75861.03 us   122587.00 us  130561.00 us  34.50 MB/s      3289.48 MB/s     0                  0
5    strong-i  16           16              16                   16                    4            12            4           12           5.047 s       140780              12618.20 us   23364.00 us   26505.00 us   108.95 MB/s     3076.99 MB/s     0                  0
5    strong-i  32           32              32                   32                    4            12            4           12           5.081 s       190044              9373.37 us    21362.00 us   27855.00 us   146.12 MB/s     2897.47 MB/s     0                  0
5    strong-i  64           64              64                   64                    4            12            4           12           5.078 s       47132               54387.91 us   87895.00 us   93397.00 us   36.26 MB/s      3451.24 MB/s     0                  0
5    strong-i  128          128             128                  128                   4            12            4           12           5.134 s       42972               102268.68 us  132200.00 us  138171.00 us  32.69 MB/s      3082.09 MB/s     0                  0
