run  mode      queue_depth  mixed_inflight  strong_hot_inflight  strong_cold_inflight  hot_threads  cold_threads  hot_queues  cold_queues  elapsed_time  total_hot_requests  avg_latency  p95_latency   p99_latency   hot_throughput  cold_throughput  hot_thread_errors  cold_thread_errors
1    strong-i  16           16              16                   16                    4            12            7           9            5.036 s       183559              12691.00 us  29478.00 us   32639.00 us   142.39 MB/s     3187.55 MB/s     0                  0
1    strong-i  32           32              32                   32                    4            12            7           9            5.067 s       163031              22124.26 us  44367.00 us   52655.00 us   125.69 MB/s     1660.20 MB/s     0                  0
1    strong-i  64           64              64                   64                    4            12            7           9            5.040 s       134356              32867.42 us  53234.00 us   61139.00 us   104.13 MB/s     3160.45 MB/s     0                  0
1    strong-i  128          128             128                  128                   4            12            7           9            5.081 s       100945              65247.05 us  93413.00 us   103945.00 us  77.61 MB/s      3180.74 MB/s     0                  0
2    strong-i  16           16              16                   16                    4            12            7           9            5.058 s       117367              35724.73 us  52254.00 us   53867.00 us   90.65 MB/s      2903.72 MB/s     0                  0
2    strong-i  32           32              32                   32                    4            12            7           9            5.076 s       152756              23198.59 us  44742.00 us   57749.00 us   117.55 MB/s     1533.65 MB/s     0                  0
2    strong-i  64           64              64                   64                    4            12            7           9            5.037 s       117201              38096.35 us  60702.00 us   67887.00 us   90.89 MB/s      2963.24 MB/s     0                  0
2    strong-i  128          128             128                  128                   4            12            7           9            5.092 s       96993               67689.67 us  103651.00 us  110884.00 us  74.40 MB/s      3046.57 MB/s     0                  0
3    strong-i  16           16              16                   16                    4            12            7           9            5.032 s       175772              14579.40 us  31783.00 us   36648.00 us   136.44 MB/s     3290.54 MB/s     0                  0
3    strong-i  32           32              32                   32                    4            12            7           9            5.073 s       156267              26440.57 us  48321.00 us   56155.00 us   120.32 MB/s     1512.73 MB/s     0                  0
3    strong-i  64           64              64                   64                    4            12            7           9            5.046 s       117064              43280.66 us  63583.00 us   74782.00 us   90.62 MB/s      3026.28 MB/s     0                  0
3    strong-i  128          128             128                  128                   4            12            7           9            5.088 s       103885              60513.45 us  93716.00 us   99595.00 us   79.75 MB/s      3267.78 MB/s     0                  0
4    strong-i  16           16              16                   16                    4            12            7           9            5.031 s       183730              13691.15 us  30757.00 us   44979.00 us   142.66 MB/s     2979.97 MB/s     0                  0
4    strong-i  32           32              32                   32                    4            12            7           9            5.063 s       156458              25032.44 us  53151.00 us   61328.00 us   120.71 MB/s     1515.97 MB/s     0                  0
4    strong-i  64           64              64                   64                    4            12            7           9            5.050 s       123360              40433.86 us  59884.00 us   67906.00 us   95.42 MB/s      3259.52 MB/s     0                  0
4    strong-i  128          128             128                  128                   4            12            7           9            5.092 s       99394               54121.70 us  92904.00 us   108418.00 us  76.24 MB/s      3126.69 MB/s     0                  0
5    strong-i  16           16              16                   16                    4            12            7           9            5.033 s       173654              13620.67 us  31782.00 us   36911.00 us   134.79 MB/s     3257.23 MB/s     0                  0
5    strong-i  32           32              32                   32                    4            12            7           9            5.079 s       132245              30832.51 us  49176.00 us   60037.00 us   101.70 MB/s     1577.00 MB/s     0                  0
5    strong-i  64           64              64                   64                    4            12            7           9            5.040 s       110946              44899.96 us  66099.00 us   77568.00 us   86.00 MB/s      3053.53 MB/s     0                  0
5    strong-i  128          128             128                  128                   4            12            7           9            5.088 s       99239               58404.53 us  94459.00 us   101554.00 us  76.19 MB/s      3121.20 MB/s     0                  0
