mode	queue_depth	mixed_inflight	strong_hot_inflight	strong_cold_inflight	hot_threads	cold_threads	hot_queues	cold_queues	elapsed_time	total_hot_requests	avg_latency	p95_latency	p99_latency	hot_throughput	cold_throughput	hot_thread_errors	cold_thread_errors
strong-i	16	16	16	16	4	12	7	9	5.031 s	183730	13691.15 us	30757.00 us	44979.00 us	142.66 MB/s	2979.97 MB/s	0	0
strong-i	32	32	32	32	4	12	7	9	5.063 s	156458	25032.44 us	53151.00 us	61328.00 us	120.71 MB/s	1515.97 MB/s	0	0
strong-i	64	64	64	64	4	12	7	9	5.050 s	123360	40433.86 us	59884.00 us	67906.00 us	95.42 MB/s	3259.52 MB/s	0	0
strong-i	128	128	128	128	4	12	7	9	5.092 s	99394	54121.70 us	92904.00 us	108418.00 us	76.24 MB/s	3126.69 MB/s	0	0
