mode	queue_depth	mixed_inflight	strong_hot_inflight	strong_cold_inflight	elapsed_time	total_hot_requests	avg_latency	p95_latency	p99_latency	hot_throughput	cold_throughput	hot_thread_errors	cold_thread_errors
hot-only	128	128	128	96	5.273 s	406166	215783.06 us	253451.00 us	360473.00 us	300.88 MB/s	0.00 MB/s	0	0
mixed	128	128	128	96	5.560 s	42005	750285.11 us	981914.00 us	994200.00 us	29.51 MB/s	2659.89 MB/s	0	0
strong-i	128	128	128	96	5.082 s	45596	84226.99 us	122288.00 us	128894.00 us	35.05 MB/s	3336.49 MB/s	0	0
