run  mode      queue_depth  mixed_inflight  strong_hot_inflight  strong_cold_inflight  elapsed_time  total_hot_requests  avg_latency   p95_latency   p99_latency   hot_throughput  cold_throughput  hot_thread_errors  cold_thread_errors
1    strong-i  16           16              16                   16                    5.030 s       123029              13834.44 us   25017.00 us   26192.00 us   104.15 MB/s     3655.14 MB/s     0                  0
1    strong-i  32           32              32                   32                    5.064 s       150220              14211.71 us   27124.00 us   32089.00 us   115.87 MB/s     3163.12 MB/s     0                  0
1    strong-i  64           64              64                   64                    5.099 s       34176               81902.95 us   125788.00 us  136806.00 us  26.18 MB/s      2485.05 MB/s     0                  0
1    strong-i  128          128             128                  128                   5.103 s       43196               91705.00 us   134638.00 us  143759.00 us  33.06 MB/s      3143.81 MB/s     0                  0
2    strong-i  16           16              16                   16                    5.042 s       158144              9600.80 us    21967.00 us   27908.00 us   122.52 MB/s     3111.59 MB/s     0                  0
2    strong-i  32           32              32                   32                    5.071 s       137288              14932.90 us   28177.00 us   32212.00 us   105.75 MB/s     2950.85 MB/s     0                  0
2    strong-i  64           64              64                   64                    5.095 s       40596               80755.75 us   104207.00 us  115502.00 us  31.13 MB/s      2938.58 MB/s     0                  0
2    strong-i  128          128             128                  128                   5.101 s       44108               112159.42 us  126180.00 us  130647.00 us  33.78 MB/s      3227.12 MB/s     0                  0
3    strong-i  16           16              16                   16                    5.039 s       179008              8199.03 us    19183.00 us   27817.00 us   138.78 MB/s     3169.00 MB/s     0                  0
3    strong-i  32           32              32                   32                    5.084 s       131556              17587.98 us   31717.00 us   34752.00 us   101.08 MB/s     2924.83 MB/s     0                  0
3    strong-i  64           64              64                   64                    5.091 s       44116               67411.23 us   95630.00 us   102849.00 us  33.85 MB/s      3211.32 MB/s     0                  0
3    strong-i  128          128             128                  128                   5.130 s       46908               82369.60 us   123528.00 us  129363.00 us  35.72 MB/s      3413.66 MB/s     0                  0
4    strong-i  16           16              16                   16                    5.042 s       142130              10572.72 us   23630.00 us   25804.00 us   110.12 MB/s     3056.00 MB/s     0                  0
4    strong-i  32           32              32                   32                    5.060 s       137404              14710.20 us   26670.00 us   33797.00 us   106.07 MB/s     3294.49 MB/s     0                  0
4    strong-i  64           64              64                   64                    5.080 s       46844               60892.87 us   88323.00 us   97270.00 us   36.02 MB/s      3421.91 MB/s     0                  0
4    strong-i  128          128             128                  128                   5.102 s       47132               94553.99 us   123131.00 us  128996.00 us  36.09 MB/s      3448.20 MB/s     0                  0
5    strong-i  16           16              16                   16                    5.059 s       111344              22760.49 us   29000.00 us   30833.00 us   85.98 MB/s      3217.87 MB/s     0                  0
5    strong-i  32           32              32                   32                    5.069 s       95988               24105.36 us   34652.00 us   36475.00 us   73.97 MB/s      2854.70 MB/s     0                  0
5    strong-i  64           64              64                   64                    5.087 s       41850               82725.34 us   104177.00 us  110132.00 us  32.14 MB/s      3040.03 MB/s     0                  0
5    strong-i  128          128             128                  128                   5.136 s       40080               124888.86 us  143598.00 us  150772.00 us  30.48 MB/s      2875.81 MB/s     0                  0
