mode	queue_depth	mixed_inflight	strong_hot_inflight	strong_cold_inflight	elapsed_time	total_hot_requests	avg_latency	p95_latency	p99_latency	hot_throughput	cold_throughput	hot_thread_errors	cold_thread_errors
hot-only	128	128	128	64	5.271 s	395680	223748.55 us	273599.00 us	450875.00 us	293.23 MB/s	0.00 MB/s	0	0
mixed	128	128	128	64	5.581 s	43974	376986.58 us	572736.00 us	593737.00 us	30.78 MB/s	3131.98 MB/s	0	0
strong-i	128	128	128	64	5.089 s	43744	82532.83 us	126991.00 us	138412.00 us	33.58 MB/s	3184.62 MB/s	0	0
