mode	queue_depth	mixed_inflight	strong_hot_inflight	strong_cold_inflight	elapsed_time	total_hot_requests	avg_latency	p95_latency	p99_latency	hot_throughput	cold_throughput	hot_thread_errors	cold_thread_errors
hot-only	64	64	64	32	5.080 s	485892	55224.03 us	99180.00 us	244195.00 us	373.60 MB/s	0.00 MB/s	0	0
mixed	64	64	64	32	5.216 s	44250	438640.27 us	710353.00 us	741106.00 us	33.14 MB/s	2820.98 MB/s	0	0
strong-i	64	64	64	32	5.068 s	104496	28897.23 us	53884.00 us	67657.00 us	80.55 MB/s	1368.38 MB/s	0	0
