mode	queue_depth	mixed_inflight	strong_hot_inflight	strong_cold_inflight	elapsed_time	total_hot_requests	avg_latency	p95_latency	p99_latency	hot_throughput	cold_throughput	hot_thread_errors	cold_thread_errors
hot-only	128	128	128	96	0.149 s	10000	61342.34 us	116479.00 us	128140.00 us	262.41 MB/s	0.00 MB/s	0	0
mixed	128	128	128	96	2.016 s	10000	350976.70 us	518727.00 us	537566.00 us	19.37 MB/s	3718.69 MB/s	0	0
strong-i	128	128	128	96	2.423 s	10000	87093.41 us	127678.00 us	138580.00 us	16.12 MB/s	3095.02 MB/s	0	0
