mode	queue_depth	mixed_inflight	strong_hot_inflight	strong_cold_inflight	elapsed_time	total_hot_requests	avg_latency	p95_latency	p99_latency	hot_throughput	cold_throughput	hot_thread_errors	cold_thread_errors
hot-only	16	16	16	8	5.037 s	386699	10630.60 us	30214.00 us	38594.00 us	299.90 MB/s	0.00 MB/s	0	0
mixed	16	16	16	8	5.059 s	38960	50731.42 us	166306.00 us	188826.00 us	30.08 MB/s	3038.73 MB/s	0	0
strong-i	16	16	16	8	5.059 s	119472	14756.78 us	29659.00 us	30844.00 us	92.25 MB/s	2980.85 MB/s	0	0
