mode	queue_depth	mixed_inflight	strong_hot_inflight	strong_cold_inflight	hot_threads	cold_threads	hot_queues	cold_queues	elapsed_time	total_hot_requests	avg_latency	p95_latency	p99_latency	hot_throughput	cold_throughput	hot_thread_errors	cold_thread_errors
strong-i	16	16	16	16	4	12	5	11	5.057 s	112659	24221.85 us	35099.00 us	37259.00 us	87.02 MB/s	2919.96 MB/s	0	0
strong-i	32	32	32	32	4	12	5	11	5.074 s	168628	11147.17 us	27881.00 us	34071.00 us	129.82 MB/s	1991.55 MB/s	0	0
strong-i	64	64	64	64	4	12	5	11	5.053 s	63355	52046.80 us	80325.00 us	85510.00 us	48.98 MB/s	3333.15 MB/s	0	0
strong-i	128	128	128	128	4	12	5	11	5.095 s	67875	76370.73 us	101471.00 us	107921.00 us	52.04 MB/s	3649.76 MB/s	0	0
