mode	queue_depth	mixed_inflight	strong_hot_inflight	strong_cold_inflight	hot_threads	cold_threads	hot_queues	cold_queues	elapsed_time	total_hot_requests	avg_latency	p95_latency	p99_latency	hot_throughput	cold_throughput	hot_thread_errors	cold_thread_errors
strong-i	16	16	16	16	4	12	6	10	5.046 s	174774	13587.36 us	29722.00 us	37389.00 us	135.30 MB/s	2713.36 MB/s	0	0
strong-i	32	32	32	32	4	12	6	10	5.062 s	171786	16646.79 us	33899.00 us	40592.00 us	132.58 MB/s	1815.71 MB/s	0	0
strong-i	64	64	64	64	4	12	6	10	5.053 s	93392	49455.67 us	66737.00 us	71622.00 us	72.20 MB/s	3324.78 MB/s	0	0
strong-i	128	128	128	128	4	12	6	10	5.104 s	74778	68859.77 us	108172.00 us	115833.00 us	57.23 MB/s	3037.15 MB/s	0	0
