mode	queue_depth	mixed_inflight	strong_hot_inflight	strong_cold_inflight	elapsed_time	total_hot_requests	avg_latency	p95_latency	p99_latency	hot_throughput	cold_throughput	hot_thread_errors	cold_thread_errors
hot-only	64	32	16	8	5.059 s	375946	20057.67 us	64589.00 us	115884.00 us	290.30 MB/s	0.00 MB/s	0	0
mixed	64	32	16	8	5.043 s	49840	159913.40 us	364755.00 us	441491.00 us	38.60 MB/s	3128.53 MB/s	0	0
strong-i	64	32	16	8	5.035 s	185596	8173.57 us	18580.00 us	22898.00 us	144.00 MB/s	2794.61 MB/s	0	0
hot-only	128	32	16	8	5.043 s	391661	15137.57 us	58957.00 us	85197.00 us	303.40 MB/s	0.00 MB/s	0	0
mixed	128	32	16	8	5.076 s	39528	285765.81 us	416098.00 us	436197.00 us	30.42 MB/s	2728.50 MB/s	0	0
strong-i	128	32	16	8	5.057 s	95176	23848.00 us	32423.00 us	33613.00 us	73.52 MB/s	3230.29 MB/s	0	0
