mode	queue_depth	mixed_inflight	strong_hot_inflight	strong_cold_inflight	elapsed_time	total_hot_requests	avg_latency	p95_latency	p99_latency	hot_throughput	cold_throughput	hot_thread_errors	cold_thread_errors
hot-only	128	128	128	64	0.149 s	10000	66699.22 us	124511.00 us	134636.00 us	262.65 MB/s	0.00 MB/s	0	0
mixed	128	128	128	64	2.881 s	10000	467226.10 us	663364.00 us	672573.00 us	13.56 MB/s	2603.14 MB/s	0	0
strong-i	128	128	128	64	3.166 s	10000	104758.43 us	182458.00 us	190015.00 us	12.34 MB/s	2368.89 MB/s	0	0
