run  mode      queue_depth  mixed_inflight  strong_hot_inflight  strong_cold_inflight  elapsed_time  total_hot_requests  avg_latency   p95_latency   p99_latency   hot_throughput  cold_throughput  hot_thread_errors  cold_thread_errors
1    strong-i  16           16              16                   16                    2.193 s       10000               14798.79 us   22322.00 us   24381.00 us   17.81 MB/s      3419.23 MB/s     0                  0
1    strong-i  32           32              32                   32                    2.444 s       10000               14528.80 us   29553.00 us   35986.00 us   15.98 MB/s      3068.73 MB/s     0                  0
1    strong-i  64           64              64                   64                    2.422 s       10000               71427.34 us   106344.00 us  116386.00 us  16.13 MB/s      3096.30 MB/s     0                  0
1    strong-i  128          128             128                  128                   2.330 s       10000               92636.67 us   116776.00 us  122045.00 us  16.76 MB/s      3218.66 MB/s     0                  0
2    strong-i  16           16              16                   16                    2.432 s       10000               9927.97 us    16575.00 us   18338.00 us   16.06 MB/s      3083.55 MB/s     0                  0
2    strong-i  32           32              32                   32                    2.644 s       10000               15270.88 us   25554.00 us   28651.00 us   14.77 MB/s      2836.06 MB/s     0                  0
2    strong-i  64           64              64                   64                    2.389 s       10000               77465.18 us   96909.00 us   100256.00 us  16.35 MB/s      3139.19 MB/s     0                  0
2    strong-i  128          128             128                  128                   2.260 s       10000               85197.77 us   118937.00 us  127789.00 us  17.29 MB/s      3318.76 MB/s     0                  0
3    strong-i  16           16              16                   16                    2.402 s       10000               12322.89 us   21387.00 us   22587.00 us   16.26 MB/s      3122.55 MB/s     0                  0
3    strong-i  32           32              32                   32                    2.531 s       10000               9004.28 us    21673.00 us   35640.00 us   15.44 MB/s      2963.78 MB/s     0                  0
3    strong-i  64           64              64                   64                    2.622 s       10000               68266.60 us   103885.00 us  109475.00 us  14.90 MB/s      2860.36 MB/s     0                  0
3    strong-i  128          128             128                  128                   2.403 s       10000               93235.15 us   126065.00 us  130733.00 us  16.25 MB/s      3120.71 MB/s     0                  0
4    strong-i  16           16              16                   16                    2.240 s       10000               12553.10 us   19547.00 us   21620.00 us   17.43 MB/s      3347.50 MB/s     0                  0
4    strong-i  32           32              32                   32                    2.629 s       10000               9760.78 us    20032.00 us   27702.00 us   14.86 MB/s      2852.94 MB/s     0                  0
4    strong-i  64           64              64                   64                    2.353 s       10000               71253.45 us   108668.00 us  134358.00 us  16.60 MB/s      3187.05 MB/s     0                  0
4    strong-i  128          128             128                  128                   2.724 s       10000               111170.24 us  147160.00 us  153364.00 us  14.34 MB/s      2752.83 MB/s     0                  0
5    strong-i  16           16              16                   16                    2.275 s       10000               9005.58 us    17100.00 us   21078.00 us   17.17 MB/s      3296.72 MB/s     0                  0
5    strong-i  32           32              32                   32                    2.373 s       10000               13041.32 us   23710.00 us   27200.00 us   16.46 MB/s      3160.56 MB/s     0                  0
5    strong-i  64           64              64                   64                    2.498 s       10000               85137.17 us   99471.00 us   105331.00 us  15.64 MB/s      3001.94 MB/s     0                  0
5    strong-i  128          128             128                  128                   2.472 s       10000               77859.76 us   126147.00 us  133305.00 us  15.80 MB/s      3034.12 MB/s     0                  0
