mode	queue_depth	mixed_inflight	strong_hot_inflight	strong_cold_inflight	elapsed_time	total_hot_requests	avg_latency	p95_latency	p99_latency	hot_throughput	cold_throughput	hot_thread_errors	cold_thread_errors
hot-only	65	64	64	48	0.153 s	9991	59234.64 us	106941.00 us	130142.00 us	255.74 MB/s	0.00 MB/s	0	0
mixed	65	64	64	48	2.773 s	10000	315235.14 us	408967.00 us	421901.00 us	14.09 MB/s	2704.16 MB/s	0	0
strong-i	65	64	64	48	2.645 s	10000	29624.10 us	49331.00 us	53275.00 us	14.77 MB/s	2835.20 MB/s	0	0
