mode	queue_depth	mixed_inflight	strong_hot_inflight	strong_cold_inflight	elapsed_time	total_hot_requests	avg_latency	p95_latency	p99_latency	hot_throughput	cold_throughput	hot_thread_errors	cold_thread_errors
hot-only	16	16	16	12	5.023 s	380926	12326.05 us	32108.00 us	40831.00 us	296.24 MB/s	0.00 MB/s	0	0
mixed	16	16	16	12	5.036 s	53476	48559.06 us	178214.00 us	211476.00 us	41.48 MB/s	3364.17 MB/s	0	0
strong-i	16	16	16	12	5.052 s	97672	23052.38 us	30666.00 us	31383.00 us	75.53 MB/s	3428.98 MB/s	0	0
