run	mode	queue_depth	mixed_inflight	strong_hot_inflight	strong_cold_inflight	elapsed_time	total_hot_requests	avg_latency	p95_latency	p99_latency	hot_throughput	cold_throughput	hot_thread_errors	cold_thread_errors
1	hot-only	64	64	64	32	5.080 s	485892	55224.03 us	99180.00 us	244195.00 us	373.60 MB/s	0.00 MB/s	0	0
1	mixed	64	64	64	32	5.216 s	44250	438640.27 us	710353.00 us	741106.00 us	33.14 MB/s	2820.98 MB/s	0	0
1	strong-i	64	64	64	32	5.068 s	104496	28897.23 us	53884.00 us	67657.00 us	80.55 MB/s	1368.38 MB/s	0	0
2	hot-only	64	64	64	32	5.091 s	376559	94112.31 us	136821.00 us	293018.00 us	288.91 MB/s	0.00 MB/s	0	0
2	mixed	64	64	64	32	5.206 s	46176	378938.55 us	473433.00 us	486278.00 us	34.65 MB/s	3126.15 MB/s	0	0
2	strong-i	64	64	64	32	5.068 s	180648	14513.39 us	27678.00 us	41480.00 us	139.24 MB/s	1878.88 MB/s	0	0
3	hot-only	64	64	64	32	5.109 s	397456	74170.95 us	122145.00 us	232512.00 us	303.88 MB/s	0.00 MB/s	0	0
3	mixed	64	64	64	32	5.223 s	46632	584901.99 us	866316.00 us	875559.00 us	34.88 MB/s	3271.10 MB/s	0	0
3	strong-i	64	64	64	32	5.095 s	103896	28295.77 us	52840.00 us	66100.00 us	79.66 MB/s	1366.83 MB/s	0	0
4	hot-only	64	64	64	32	5.114 s	368304	65683.28 us	129960.00 us	312141.00 us	281.30 MB/s	0.00 MB/s	0	0
4	mixed	64	64	64	32	5.272 s	44832	238097.33 us	368796.00 us	386631.00 us	33.22 MB/s	3197.98 MB/s	0	0
4	strong-i	64	64	64	32	5.076 s	151356	16822.08 us	33308.00 us	50409.00 us	116.49 MB/s	1660.88 MB/s	0	0
5	hot-only	64	64	64	32	5.076 s	426269	46071.73 us	108795.00 us	294540.00 us	328.06 MB/s	0.00 MB/s	0	0
5	mixed	64	64	64	32	5.219 s	51473	663141.52 us	928457.00 us	938156.00 us	38.53 MB/s	3023.74 MB/s	0	0
5	strong-i	64	64	64	32	5.076 s	137284	20251.36 us	37831.00 us	58091.00 us	105.65 MB/s	1623.48 MB/s	0	0
