mode	queue_depth	mixed_inflight	strong_hot_inflight	strong_cold_inflight	elapsed_time	total_hot_requests	avg_latency	p95_latency	p99_latency	hot_throughput	cold_throughput	hot_thread_errors	cold_thread_errors
hot-only	32	32	32	16	5.029 s	319633	20244.99 us	73765.00 us	102174.00 us	248.29 MB/s	0.00 MB/s	0	0
mixed	32	32	32	16	5.075 s	57272	129752.87 us	350839.00 us	416277.00 us	44.09 MB/s	3385.92 MB/s	0	0
strong-i	32	32	32	16	5.049 s	120704	16201.29 us	34303.00 us	37641.00 us	93.38 MB/s	3126.33 MB/s	0	0
