run  mode      queue_depth  mixed_inflight  strong_hot_inflight  strong_cold_inflight  elapsed_time  total_hot_requests  avg_latency   p95_latency   p99_latency   hot_throughput  cold_throughput  hot_thread_errors  cold_thread_errors
1    hot-only  128          128             128                  96                    5.249 s       411675              216328.31 us  256273.00 us  335671.00 us  306.35 MB/s     0.00 MB/s        0                  0
1    mixed     128          128             128                  96                    5.623 s       44176               637021.36 us  795616.00 us  807748.00 us  30.69 MB/s      2887.48 MB/s     0                  0
1    strong-i  128          128             128                  96                    5.090 s       41180               92987.97 us   134208.00 us  143553.00 us  31.60 MB/s      2996.05 MB/s     0                  0
2    hot-only  128          128             128                  96                    5.270 s       382669              229135.40 us  285553.00 us  455046.00 us  283.64 MB/s     0.00 MB/s        0                  0
2    mixed     128          128             128                  96                    5.513 s       48319               696993.97 us  829894.00 us  843778.00 us  34.24 MB/s      3049.76 MB/s     0                  0
2    strong-i  128          128             128                  96                    5.118 s       41300               110741.16 us  143929.00 us  152381.00 us  31.52 MB/s      3000.00 MB/s     0                  0
3    hot-only  128          128             128                  96                    5.241 s       401037              222696.45 us  258009.00 us  434921.00 us  298.87 MB/s     0.00 MB/s        0                  0
3    mixed     128          128             128                  96                    5.657 s       42230               266728.87 us  638880.00 us  656412.00 us  29.16 MB/s      3587.13 MB/s     0                  0
3    strong-i  128          128             128                  96                    5.101 s       43996               91856.71 us   131248.00 us  147964.00 us  33.69 MB/s      3199.31 MB/s     0                  0
4    hot-only  128          128             128                  96                    5.263 s       383440              228942.10 us  270477.00 us  449350.00 us  284.60 MB/s     0.00 MB/s        0                  0
4    mixed     128          128             128                  96                    5.753 s       40261               349727.71 us  640873.00 us  669046.00 us  27.34 MB/s      2865.92 MB/s     0                  0
4    strong-i  128          128             128                  96                    5.094 s       43744               102382.02 us  133255.00 us  140778.00 us  33.54 MB/s      3191.48 MB/s     0                  0
5    hot-only  128          128             128                  96                    5.273 s       406166              215783.06 us  253451.00 us  360473.00 us  300.88 MB/s     0.00 MB/s        0                  0
5    mixed     128          128             128                  96                    5.560 s       42005               750285.11 us  981914.00 us  994200.00 us  29.51 MB/s      2659.89 MB/s     0                  0
5    strong-i  128          128             128                  96                    5.082 s       45596               84226.99 us   122288.00 us  128894.00 us  35.05 MB/s      3336.49 MB/s     0                  0
