mode	queue_depth	mixed_inflight	strong_hot_inflight	strong_cold_inflight	elapsed_time	total_hot_requests	avg_latency	p95_latency	p99_latency	hot_throughput	cold_throughput	hot_thread_errors	cold_thread_errors
strong-i	16	16	16	16	2.240 s	10000	12553.10 us	19547.00 us	21620.00 us	17.43 MB/s	3347.50 MB/s	0	0
strong-i	32	32	32	32	2.629 s	10000	9760.78 us	20032.00 us	27702.00 us	14.86 MB/s	2852.94 MB/s	0	0
strong-i	64	64	64	64	2.353 s	10000	71253.45 us	108668.00 us	134358.00 us	16.60 MB/s	3187.05 MB/s	0	0
strong-i	128	128	128	128	2.724 s	10000	111170.24 us	147160.00 us	153364.00 us	14.34 MB/s	2752.83 MB/s	0	0
