run  mode      queue_depth  mixed_inflight  strong_hot_inflight  strong_cold_inflight  hot_threads  cold_threads  hot_queues  cold_queues  elapsed_time  total_hot_requests  avg_latency   p95_latency   p99_latency   hot_throughput  cold_throughput  hot_thread_errors  cold_thread_errors
1    strong-i  16           16              16                   16                    4            12            3           13           5.046 s       154387              8590.32 us    16919.00 us   22746.00 us   119.51 MB/s     3058.38 MB/s     0                  0
1    strong-i  32           32              32                   32                    4            12            3           13           5.069 s       176899              8115.53 us    18635.00 us   25542.00 us   136.31 MB/s     3126.22 MB/s     0                  0
1    strong-i  64           64              64                   64                    4            12            3           13           5.120 s       23187               96662.04 us   144142.00 us  154894.00 us  17.69 MB/s      2436.50 MB/s     0                  0
1    strong-i  128          128             128                  128                   4            12            3           13           5.102 s       31125               83419.11 us   137771.00 us  145904.00 us  23.83 MB/s      3287.80 MB/s     0                  0
2    strong-i  16           16              16                   16                    4            12            3           13           5.037 s       127249              10808.51 us   22181.00 us   23497.00 us   98.68 MB/s      3121.68 MB/s     0                  0
2    strong-i  32           32              32                   32                    4            12            3           13           5.098 s       186223              8218.95 us    17419.00 us   22332.00 us   142.68 MB/s     2720.67 MB/s     0                  0
2    strong-i  64           64              64                   64                    4            12            3           13           5.086 s       31129               82496.87 us   101281.00 us  113725.00 us  23.91 MB/s      3283.27 MB/s     0                  0
2    strong-i  128          128             128                  128                   4            12            3           13           5.119 s       31541               82980.47 us   131845.00 us  151926.00 us  24.07 MB/s      3319.79 MB/s     0                  0
3    strong-i  16           16              16                   16                    4            12            3           13           5.043 s       130290              12198.13 us   21033.00 us   22441.00 us   100.91 MB/s     3298.59 MB/s     0                  0
3    strong-i  32           32              32                   32                    4            12            3           13           5.072 s       187822              6887.05 us    15578.00 us   19028.00 us   144.65 MB/s     3066.90 MB/s     0                  0
3    strong-i  64           64              64                   64                    4            12            3           13           5.078 s       32044               70288.96 us   97299.00 us   103142.00 us  24.65 MB/s      3393.31 MB/s     0                  0
3    strong-i  128          128             128                  128                   4            12            3           13           5.116 s       30101               97166.13 us   140961.00 us  149854.00 us  22.98 MB/s      3157.89 MB/s     0                  0
4    strong-i  16           16              16                   16                    4            12            3           13           5.054 s       172833              8239.36 us    15805.00 us   18414.00 us   133.59 MB/s     3052.74 MB/s     0                  0
4    strong-i  32           32              32                   32                    4            12            3           13           5.078 s       172112              8299.90 us    17782.00 us   20039.00 us   132.39 MB/s     3061.42 MB/s     0                  0
4    strong-i  64           64              64                   64                    4            12            3           13           5.097 s       29731               70900.27 us   107669.00 us  115424.00 us  22.79 MB/s      3133.58 MB/s     0                  0
4    strong-i  128          128             128                  128                   4            12            3           13           5.113 s       28537               121236.40 us  148253.00 us  155330.00 us  21.80 MB/s      3008.65 MB/s     0                  0
5    strong-i  16           16              16                   16                    4            12            3           13           5.043 s       168858              7216.44 us    15836.00 us   22425.00 us   130.80 MB/s     3231.56 MB/s     0                  0
5    strong-i  32           32              32                   32                    4            12            3           13           5.098 s       157190              8869.47 us    22318.00 us   25609.00 us   120.45 MB/s     2842.47 MB/s     0                  0
5    strong-i  64           64              64                   64                    4            12            3           13           5.076 s       30273               82926.07 us   103358.00 us  109314.00 us  23.30 MB/s      3208.58 MB/s     0                  0
5    strong-i  128          128             128                  128                   4            12            3           13           5.119 s       30836               110170.33 us  140108.00 us  151134.00 us  23.53 MB/s      3204.78 MB/s     0                  0
