mode	queue_depth	mixed_inflight	strong_hot_inflight	strong_cold_inflight	elapsed_time	total_hot_requests	avg_latency	p95_latency	p99_latency	hot_throughput	cold_throughput	hot_thread_errors	cold_thread_errors
hot-only	32	32	32	16	5.043 s	344896	21613.27 us	69871.00 us	123830.00 us	267.13 MB/s	0.00 MB/s	0	0
mixed	32	32	32	16	5.156 s	36912	74274.57 us	177251.00 us	194567.00 us	27.96 MB/s	2775.72 MB/s	0	0
strong-i	32	32	32	16	5.046 s	91772	27618.69 us	37982.00 us	40255.00 us	71.04 MB/s	2803.43 MB/s	0	0
