mode	queue_depth	mixed_inflight	strong_hot_inflight	strong_cold_inflight	elapsed_time	total_hot_requests	avg_latency	p95_latency	p99_latency	hot_throughput	cold_throughput	hot_thread_errors	cold_thread_errors
hot-only	128	128	128	64	5.269 s	381613	232561.53 us	272130.00 us	487618.00 us	282.90 MB/s	0.00 MB/s	0	0
mixed	128	128	128	64	5.630 s	41833	563935.88 us	759758.00 us	786987.00 us	29.02 MB/s	2929.75 MB/s	0	0
strong-i	128	128	128	64	5.094 s	42368	76687.06 us	132148.00 us	143364.00 us	32.49 MB/s	3076.49 MB/s	0	0
