mode	queue_depth	mixed_inflight	strong_hot_inflight	strong_cold_inflight	elapsed_time	total_hot_requests	avg_latency	p95_latency	p99_latency	hot_throughput	cold_throughput	hot_thread_errors	cold_thread_errors
hot-only	64	64	64	48	5.134 s	372431	91233.16 us	135281.00 us	329111.00 us	283.38 MB/s	0.00 MB/s	0	0
mixed	64	64	64	48	5.213 s	47252	320417.08 us	457378.00 us	476169.00 us	35.41 MB/s	3190.87 MB/s	0	0
strong-i	64	64	64	48	5.060 s	98784	27408.62 us	41693.00 us	44421.00 us	76.26 MB/s	2996.74 MB/s	0	0
