run	mode	queue_depth	mixed_inflight	strong_hot_inflight	strong_cold_inflight	elapsed_time	total_hot_requests	avg_latency	p95_latency	p99_latency	hot_throughput	cold_throughput	hot_thread_errors	cold_thread_errors
1	hot-only	17	16	16	8	0.149 s	9986	19918.36 us	35294.00 us	41829.00 us	261.88 MB/s	0.00 MB/s	0	0
1	mixed	17	16	16	8	3.021 s	10000	134233.08 us	217508.00 us	223816.00 us	12.93 MB/s	2482.38 MB/s	0	0
1	strong-i	17	16	16	8	2.585 s	10000	10034.72 us	18978.00 us	27650.00 us	15.11 MB/s	2901.29 MB/s	0	0
2	hot-only	17	16	16	8	0.153 s	9984	18462.34 us	33985.00 us	39187.00 us	254.96 MB/s	0.00 MB/s	0	0
2	mixed	17	16	16	8	3.008 s	10000	83098.97 us	211268.00 us	280064.00 us	12.99 MB/s	2492.90 MB/s	0	0
2	strong-i	17	16	16	8	2.223 s	10000	16725.90 us	24010.00 us	25344.00 us	17.57 MB/s	3372.39 MB/s	0	0
3	hot-only	17	16	16	8	0.151 s	9992	21106.26 us	36816.00 us	42226.00 us	259.04 MB/s	0.00 MB/s	0	0
3	mixed	17	16	16	8	2.857 s	10000	117440.97 us	224627.00 us	237582.00 us	13.67 MB/s	2624.61 MB/s	0	0
3	strong-i	17	16	16	8	2.235 s	10000	16971.92 us	27203.00 us	28644.00 us	17.47 MB/s	3354.32 MB/s	0	0
4	hot-only	17	16	16	8	0.156 s	9996	15858.85 us	39538.00 us	50716.00 us	250.59 MB/s	0.00 MB/s	0	0
4	mixed	17	16	16	8	2.811 s	10000	33250.98 us	105885.00 us	119929.00 us	13.90 MB/s	2667.92 MB/s	0	0
4	strong-i	17	16	16	8	2.352 s	10000	12672.93 us	19655.00 us	20932.00 us	16.61 MB/s	3188.49 MB/s	0	0
5	hot-only	17	16	16	8	0.155 s	9996	15986.37 us	36841.00 us	46627.00 us	251.30 MB/s	0.00 MB/s	0	0
5	mixed	17	16	16	8	2.735 s	10000	126969.90 us	223225.00 us	272488.00 us	14.28 MB/s	2741.65 MB/s	0	0
5	strong-i	17	16	16	8	2.244 s	10000	11934.66 us	19590.00 us	21063.00 us	17.41 MB/s	3342.22 MB/s	0	0
