mode	queue_depth	mixed_inflight	strong_hot_inflight	strong_cold_inflight	elapsed_time	total_hot_requests	avg_latency	p95_latency	p99_latency	hot_throughput	cold_throughput	hot_thread_errors	cold_thread_errors
hot-only	128	128	128	64	0.148 s	10000	57769.69 us	111730.00 us	125100.00 us	263.51 MB/s	0.00 MB/s	0	0
mixed	128	128	128	64	1.997 s	10000	383370.83 us	587828.00 us	598593.00 us	19.56 MB/s	3754.67 MB/s	0	0
strong-i	128	128	128	64	2.082 s	10000	68083.20 us	119369.00 us	123651.00 us	18.76 MB/s	3600.95 MB/s	0	0
