run  mode      queue_depth  mixed_inflight  strong_hot_inflight  strong_cold_inflight  hot_threads  cold_threads  hot_queues  cold_queues  elapsed_time  total_hot_requests  avg_latency   p95_latency   p99_latency   hot_throughput  cold_throughput  hot_thread_errors  cold_thread_errors
1    strong-i  16           16              16                   16                    4            12            2           14           5.041 s       131040              6714.55 us    13467.00 us   14606.00 us   101.54 MB/s     3137.53 MB/s     2                  0
1    strong-i  32           32              32                   32                    4            12            2           14           5.079 s       131008              6988.99 us    15294.00 us   16285.00 us   100.76 MB/s     3141.23 MB/s     2                  0
1    strong-i  64           64              64                   64                    4            12            2           14           5.106 s       17906               72400.53 us   120747.00 us  133640.00 us  13.70 MB/s      3044.69 MB/s     0                  0
1    strong-i  128          128             128                  128                   4            12            2           14           5.130 s       19202               105536.69 us  148560.00 us  157684.00 us  14.62 MB/s      3257.40 MB/s     0                  0
2    strong-i  16           16              16                   16                    4            12            2           14           5.042 s       131040              6053.59 us    14810.00 us   15576.00 us   101.51 MB/s     3189.27 MB/s     1                  0
2    strong-i  32           32              32                   32                    4            12            2           14           5.060 s       131008              6875.54 us    14986.00 us   16277.00 us   101.14 MB/s     3108.54 MB/s     1                  0
2    strong-i  64           64              64                   64                    4            12            2           14           5.107 s       18542               80485.85 us   119336.00 us  130580.00 us  14.18 MB/s      3161.70 MB/s     0                  0
2    strong-i  128          128             128                  128                   4            12            2           14           5.143 s       19026               135372.16 us  156914.00 us  169527.00 us  14.45 MB/s      3222.43 MB/s     0                  0
3    strong-i  16           16              16                   16                    4            12            2           14           5.031 s       104192              11014.07 us   15649.00 us   16220.00 us   80.89 MB/s      3245.27 MB/s     0                  0
3    strong-i  32           32              32                   32                    4            12            2           14           5.079 s       101662              15097.39 us   17135.00 us   17744.00 us   78.19 MB/s      3027.94 MB/s     0                  0
3    strong-i  64           64              64                   64                    4            12            2           14           5.109 s       18434               71212.26 us   119374.00 us  125196.00 us  14.09 MB/s      3127.17 MB/s     0                  0
3    strong-i  128          128             128                  128                   4            12            2           14           5.114 s       19454               129399.34 us  150159.00 us  160198.00 us  14.86 MB/s      3308.08 MB/s     0                  0
4    strong-i  16           16              16                   16                    4            12            2           14           5.037 s       131040              5453.44 us    10179.00 us   11080.00 us   101.63 MB/s     3167.02 MB/s     2                  0
4    strong-i  32           32              32                   32                    4            12            2           14           5.058 s       106406              13603.57 us   17026.00 us   18272.00 us   82.17 MB/s      2976.96 MB/s     0                  0
4    strong-i  64           64              64                   64                    4            12            2           14           5.099 s       18126               89663.71 us   122151.00 us  132433.00 us  13.89 MB/s      3083.07 MB/s     0                  0
4    strong-i  128          128             128                  128                   4            12            2           14           5.138 s       15336               127389.83 us  189281.00 us  196343.00 us  11.66 MB/s      2592.82 MB/s     0                  0
5    strong-i  16           16              16                   16                    4            12            2           14           5.061 s       131040              6600.50 us    13030.00 us   14071.00 us   101.15 MB/s     3059.78 MB/s     1                  0
5    strong-i  32           32              32                   32                    4            12            2           14           5.078 s       124770              10182.52 us   17506.00 us   18174.00 us   95.98 MB/s      3198.19 MB/s     0                  0
5    strong-i  64           64              64                   64                    4            12            2           14           5.067 s       23584               67489.29 us   92156.00 us   99861.00 us   18.18 MB/s      4043.99 MB/s     0                  0
5    strong-i  128          128             128                  128                   4            12            2           14           5.105 s       23036               102217.67 us  121852.00 us  126531.00 us  17.63 MB/s      3887.32 MB/s     0                  0
